game,winner
8054595004,dire 8054595004
8054665063,radiant 8054665063
8054761555,radiant 8054761555
8054846912,dire 8054846912
8054936496,radiant 8054936496
8055088008,radiant 8055088008
8055187485,dire 8055187485
8055284959,dire 8055284959
8055385235,dire 8055385235
8055489134,radiant 8055489134
8054594883,dire 8054594883
8054644399,dire 8054644399
8054705111,radiant 8054705111
8054769333,dire 8054769333
8054861702,radiant 8054861702
8054965291,dire 8054965291
8055089269,radiant 8055089269
8055231335,radiant 8055231335
8055285102,radiant 8055285102
8055384655,dire 8055384655
8056476228,radiant 8056476228
8056585402,radiant 8056585402
8056728116,dire 8056728116
8056889752,dire 8056889752
8056960913,dire 8056960913
8054595004,dire 8054595004
8054665063,radiant 8054665063
8054761555,radiant 8054761555
8054846912,dire 8054846912
8054936496,radiant 8054936496
8055088008,radiant 8055088008
8055187485,dire 8055187485
8055284959,dire 8055284959
8055385235,dire 8055385235
8055489134,radiant 8055489134
8054594883,dire 8054594883
8054644399,dire 8054644399
8054705111,radiant 8054705111
8054769333,dire 8054769333
8054861702,radiant 8054861702
8054965291,dire 8054965291
8055089269,radiant 8055089269
8055231335,radiant 8055231335
8055285102,radiant 8055285102
8055384655,dire 8055384655
8056476228,radiant 8056476228
8056585402,radiant 8056585402
8056728116,dire 8056728116
8056889752,dire 8056889752
8056960913,dire 8056960913
8057125074,radiant 8057125074
8057869002,dire 8057869002
8058023635,dire 8058023635
8058124306,dire 8058124306
8058249772,radiant 8058249772
8058358558,dire 8058358558
8059269676,radiant 8059269676
8059395636,dire 8059395636
8059599922,radiant 8059599922
8059708053,dire 8059708053
8060944213,dire 8060944213
8061100515,radiant 8061100515
8061294743,radiant 8061294743
8061396001,dire 8061396001
8062807181,dire 8062807181
8062945076,dire 8062945076
8063069899,dire 8063069899
8063200834,radiant 8063200834
8041499047,radiant 8041499047
8041499047,radiant 8041499047
8041499047,radiant 8041499047
